Chemin de la Loge   ;9:15
Bel Air             ;9:16
Hermitage           ;9:17
Coupe-Jarret        ;9:18
Les Hauts de Vienne ;9:19
Les Grands Prés     ;9:20
Beauregard          ;9:21
Burgondes           ;9:21
Les Célestes        ;9:25
Gare de Vienne      ;9:27
